index,cik,ticker,name
449,821189,EOG,EOG RESOURCES INC
450,1446672,TRUMY,Terumo Corp
451,68505,MSI,"Motorola Solutions, Inc."
452,943819,RMD,RESMED INC
453,1372920,EDU,New Oriental Education & Technology Group Inc.
454,1534701,PSX,Phillips 66
455,1677250,ZTO,ZTO Express (Cayman) Inc.
456,939380,RWEOY,RWE AG /FI
457,1410636,AWK,"American Water Works Company, Inc."
458,9389,BLL,BALL Corp
459,1411133,KBCSY,KBC Group NV
460,1802768,RPRX,Royalty Pharma plc
461,1060736,SGEN,Seagen Inc.
462,1502104,AMADY,"Amadeus IT Group, S.A./ADR"
463,1060391,RSG,"REPUBLIC SERVICES, INC."
464,1489393,LYB,LyondellBasell Industries N.V.
465,1616707,W,Wayfair Inc.
466,1638747,ZLNDY,Zalando SE/ADR
467,788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
468,927653,MCK,MCKESSON CORP
469,1024478,ROK,"ROCKWELL AUTOMATION, INC"
470,1791706,LI,Li Auto Inc.
471,1725964,NTR,Nutrien Ltd.
472,1454471,CRBJY,China Resources Land Ltd / ADR
473,1585689,HLT,Hilton Worldwide Holdings Inc.
474,1510295,MPC,Marathon Petroleum Corp
475,1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
476,7084,ADM,Archer-Daniels-Midland Co
477,1381197,IBKR,"Interactive Brokers Group, Inc."
478,882184,DHI,HORTON D R INC /DE/
479,1471055,BSBR,Banco Santander (Brasil) S.A.
480,1781335,OTIS,Otis Worldwide Corp
481,1776985,BNTX,BioNTech SE
482,783325,WEC,"WEC ENERGY GROUP, INC."
483,93556,SWK,"STANLEY BLACK & DECKER, INC."
484,764478,BBY,BEST BUY CO INC
485,1353283,SPLK,SPLUNK INC
486,1253493,ASAZY,ASSA ABLOY AB
487,1451287,KHNGY,Kuehne & Nagel International AG / ADR
488,24741,GLW,CORNING INC /NY
489,1097362,SLF,SUN LIFE FINANCIAL INC
490,1713683,ZS,"Zscaler, Inc."
491,1637120,CKHUY,CK Hutchison Holdings Limited/ADR
492,1058255,OAOFY,PJSC TATNEFT
493,1379235,ARZGY,Assicurazioni Generali S.p.A.
494,1158089,GCTAY,GAMESA S A /FI
495,1017413,CNQ,CANADIAN NATURAL RESOURCES LTD
496,924613,NOK,NOKIA CORP
497,1334687,CJPRY,CENTRAL JAPAN RAILWAY CO
498,1140536,WLTW,WILLIS TOWERS WATSON PLC
499,1012037,CODYY,COMPAGNIE DE SAINT GOBAIN
500,815556,FAST,FASTENAL CO
501,1434265,GMAB,GENMAB A/S
502,1462886,CTRYY,Country Garden Holdings Co Ltd /ADR
503,14693,BFA,BROWN FORMAN CORP
504,908937,SIRI,SIRIUS XM HOLDINGS INC.
505,868675,TU,TELUS CORP
506,1095054,UNICY,Unicharm Corp
507,1601046,KEYS,"Keysight Technologies, Inc."
508,21076,CLX,CLOROX CO /DE/
509,92380,LUV,SOUTHWEST AIRLINES CO
510,1300175,AONNY,"AEON CO., LTD."
511,1037868,AME,AMETEK INC/
512,866787,AZO,AUTOZONE INC
513,900075,CPRT,COPART INC
514,1820953,AFRM,"Affirm Holdings, Inc."
515,766704,WELL,WELLTOWER INC.
516,1787425,XP,XP Inc.
517,1038357,PXD,PIONEER NATURAL RESOURCES CO
518,1318220,WCN,"Waste Connections, Inc."
519,107263,WMB,"WILLIAMS COMPANIES, INC."
520,1452191,WEICY,"Weichai Power Co., Ltd. / ADR"
521,311337,SU,SUNCOR ENERGY INC
522,920760,LEN,LENNAR CORP /NEW/
523,1370637,ETSY,ETSY INC
524,56873,KR,KROGER CO
525,1517231,SSMXY,Sysmex Corporation/ADR
526,48465,HRL,HORMEL FOODS CORP /DE/
527,1393612,DFS,Discover Financial Services
528,1132979,FRC,FIRST REPUBLIC BANK
529,1269920,GASNY,GAS NATURAL SDG SA
530,93751,STT,STATE STREET CORP
531,896076,MGDDY,MICHELIN COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN /FI
532,1477333,NET,"Cloudflare, Inc."
533,1764925,WORK,"Slack Technologies, Inc."
534,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
535,1161154,ETP-PC,"Energy Transfer Operating, L.P."
536,844150,NWG,NatWest Group plc
537,804753,CERN,CERNER Corp
